"","id","s_g3","r_g3","m_g3","s_g5","r_g5","m_g5","s_g8","r_g8","m_g8","st_g3","rt_g3","mt_g3","st_g5","rt_g5","mt_g5","st_g8","rt_g8","mt_g8"
"143",1468,42.65,116.41,69.11,64.36,142.94,100.17,58.25,156.3,117.75,-0.612,1.177,0.774,0.366,1.174,0.98,-0.262,1.091,0.997
"144",1482,42.2,146.9,76.05,54.85,165.75,101.65,82.83,198.12,136.2,-0.683,1.574,0.931,-0.065,1.442,1.003,0.748,1.743,1.295
"145",1486,66.27,160.06,113.97,67.8,167.7,133.03,72.16,194.08,148.55,0.355,1.745,1.55,0.573,1.52,1.487,0.281,1.632,1.524
"146",1499,39.73,107.82,58.86,NA,NA,NA,72.73,163.64,128.65,-0.742,1.098,0.517,NA,NA,NA,0.305,1.17,1.168
"147",1512,47.03,106.48,106.82,28.91,125.38,83.55,72.32,128.6,117.11,-0.448,1.067,1.476,-1.62,0.988,0.681,0.288,0.824,0.988
"148",1515,22.1,89.74,74.6,29.76,108.29,86.45,51.55,95.66,87.43,-1.811,0.816,0.874,-1.559,0.813,0.73,-0.52,0.489,0.574
"149",1520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",1533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",1538,77.7,147.42,145.23,85.53,183.31,165.81,106.69,204.48,164.44,0.819,1.487,2.209,1.505,1.821,2.375,2.698,2.009,1.942
"152",1562,26.08,73.46,56.34,24.22,125.93,81.59,68.1,116.05,115,-1.496,0.544,0.449,-2.069,0.945,0.649,0.118,0.705,0.957
"153",1584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",1589,22.18,101.42,72.83,32.33,124.52,93.55,NA,NA,NA,-1.815,0.955,0.837,-1.375,0.966,0.892,NA,NA,NA
"155",1592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",1600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",1607,49.23,153.76,101.39,50.19,167.42,108.37,NA,NA,NA,-0.342,1.64,1.339,-0.284,1.535,1.176,NA,NA,NA
"158",1623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",1624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",1630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",1633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",1635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",1644,27.6,105.7,64.32,NA,NA,NA,NA,NA,NA,-1.383,1.036,0.667,NA,NA,NA,NA,NA,NA
"164",1651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",1652,24.29,90.89,52.57,NA,NA,NA,NA,NA,NA,-1.642,0.898,0.325,NA,NA,NA,NA,NA,NA
"166",1698,27.45,63.92,56.05,NA,NA,NA,NA,NA,NA,-1.4,0.238,0.439,NA,NA,NA,NA,NA,NA
"167",1704,23.45,86.34,56.71,NA,NA,NA,NA,NA,NA,-1.713,0.758,0.466,NA,NA,NA,NA,NA,NA
"168",1710,34.05,105.71,81.06,43.63,145.01,118.2,75.55,135.27,124.3,-0.987,1.035,1.017,-0.669,1.178,1.242,0.422,0.886,1.099
"169",1718,56.09,108.87,102.16,63.6,139.21,110.3,62.54,183.83,127.83,-0.052,1.097,1.357,0.327,1.116,1.183,-0.097,1.435,1.155
"170",1728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",1731,62.26,146.3,114.03,87.68,163.77,153.36,102.73,197.11,168.14,0.187,1.445,1.558,1.675,1.429,1.967,2.092,1.712,2.123
"172",1737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",1747,34.81,129.15,97.06,67.09,163.81,130.94,73.41,151.74,120.29,-0.984,1.357,1.286,0.554,1.406,1.519,0.333,1.044,1.036
"174",1760,42.91,125.18,104.97,NA,NA,NA,NA,NA,NA,-0.581,1.218,1.426,NA,NA,NA,NA,NA,NA
"175",1763,53.73,149.1,109.44,71.46,158.06,143.92,96.79,183.7,160.36,-0.123,1.488,1.514,0.739,1.382,1.844,1.551,1.432,1.804
"176",1766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",1817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",1819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",1821,54.46,123.27,93.59,72.11,147.47,109.93,NA,NA,NA,-0.127,1.229,1.241,0.78,1.229,1.084,NA,NA,NA
"180",1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",1836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",1837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",1843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",1845,58.56,130.35,102.69,65.43,152.26,140.92,82.41,199.41,149.57,0.009,1.38,1.364,0.474,1.296,1.652,0.728,1.785,1.545
"185",1870,20.6,61.16,65.65,NA,NA,NA,NA,NA,NA,-1.986,0.178,0.707,NA,NA,NA,NA,NA,NA
"186",1899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",1914,51.96,135.42,123.69,68.57,166.56,151.12,99.19,190.53,153.08,-0.249,1.395,1.737,0.625,1.508,1.963,1.742,1.554,1.62
"188",1917,35.44,106.57,103.73,42.89,146.82,133.15,NA,NA,NA,-0.957,1.113,1.391,-0.727,1.225,1.508,NA,NA,NA
"189",1927,50.04,125.28,110.31,47.12,108.29,97.69,NA,NA,NA,-0.302,1.285,1.534,-0.492,0.843,0.914,NA,NA,NA
"190",1934,70.27,146.57,120.53,86.32,186.2,159.04,102.44,189.73,167.86,0.504,1.427,1.685,1.669,1.794,2.141,2.059,1.538,2.106
"191",1938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",1959,NA,103.75,NA,NA,NA,NA,NA,NA,NA,NA,0.978,NA,NA,NA,NA,NA,NA,NA
"195",1976,54.03,127.7,109.3,72.98,151.16,130.59,91.38,199.79,152.62,-0.135,1.385,1.487,0.82,1.282,1.477,1.196,1.798,1.609
"196",1996,56.49,109.87,90.17,65.8,144.89,127.46,89.6,128.37,145.6,-0.039,1.134,1.196,0.388,1.177,1.347,1.094,0.822,1.466
"197",2022,45.78,147.23,88.84,46.07,159.71,112.89,62.04,109.3,95.9,-0.469,1.529,1.153,-0.523,1.377,1.138,-0.117,0.638,0.69
"198",2023,63.49,114.72,74.99,71.7,134.96,103.93,85.91,168.09,143.17,0.2,1.179,0.893,0.756,1.148,1.073,0.899,1.222,1.42
"199",2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200",2066,54.27,128.45,107.01,81.21,159.66,141.89,93.34,187.95,167.63,-0.12,1.402,1.472,1.41,1.396,1.658,1.315,1.504,2.092
"201",2071,76.61,165.95,135.83,91.14,166.62,158.17,103.1,203.02,171.04,0.745,1.84,2.019,1.96,1.454,2.099,2.136,1.932,2.368
"202",2083,75.39,175.13,130.72,90.51,182.35,149.67,102.96,195.22,159.69,0.669,2.037,1.881,1.969,1.793,1.915,2.119,1.661,1.784
"203",2091,48.74,122.74,97.67,NA,NA,NA,NA,NA,NA,-0.347,1.258,1.274,NA,NA,NA,NA,NA,NA
"204",2097,57.25,177.09,117.84,78.74,173.08,130.2,90.35,191.38,144.44,-0.041,1.935,1.609,1.124,1.555,1.5,1.136,1.571,1.443
"205",2102,61.21,178.57,140.85,86.95,182.22,150.39,93.72,205.21,160.86,0.124,1.942,2.113,1.675,1.818,1.92,1.34,2.053,1.819
