"","id","s_g3","r_g3","m_g3","s_g5","r_g5","m_g5","s_g8","r_g8","m_g8","st_g3","rt_g3","mt_g3","st_g5","rt_g5","mt_g5","st_g8","rt_g8","mt_g8"
"1035",10744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1036",10786,30.49,98.87,103.23,52.23,162.62,112.6,NA,NA,NA,-1.21,0.937,1.394,-0.209,1.418,1.24,NA,NA,NA
"1037",10788,55.58,104.82,78.77,72.08,139.66,103.95,93.45,168.77,117.57,-0.089,1.011,1,0.812,1.132,0.958,1.323,1.23,0.995
"1038",10799,50.85,126.45,131.94,65.24,164.96,134.85,NA,NA,NA,-0.283,1.275,1.911,0.372,1.416,1.55,NA,NA,NA
"1039",10804,51.71,96.2,84.69,64.7,125.68,104.62,NA,NA,NA,-0.247,0.875,1.039,0.4,0.969,0.984,NA,NA,NA
"1040",10820,82.08,167.13,146.49,91.74,182.01,161.2,105.73,201.94,169.28,1.038,1.854,2.236,2.058,1.779,2.281,2.513,1.882,2.201
"1041",10821,89.74,169.53,129.72,85.19,187.42,141.76,106.84,202.35,159.89,1.36,1.784,1.86,1.517,1.887,1.697,2.73,1.9,1.79
"1042",10826,87.8,153.56,113.11,78.37,165.82,115.32,100.84,187.35,142.78,1.3,1.617,1.557,1.194,1.483,1.187,1.892,1.494,1.412
"1043",10847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1044",10850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1045",10855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1046",10869,58.79,163.71,131.28,84.94,181.35,150.75,95.3,188.49,162.03,0.057,1.808,1.899,1.551,1.701,1.836,1.444,1.514,1.856
"1047",10884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1048",10890,NA,NA,NA,NA,NA,NA,94.97,154.63,115.03,NA,NA,NA,NA,NA,NA,1.422,1.073,0.957
"1049",10893,60.39,152.6,105.32,66.39,179.46,136.67,98.4,182.95,140.01,0.092,1.651,1.426,0.477,1.664,1.556,1.676,1.421,1.362
"1050",10897,39.14,91.74,72.03,50.16,123.86,85.9,71.15,163.52,104.53,-0.772,0.853,0.822,-0.332,0.954,0.733,0.24,1.169,0.807
"1051",10902,44.37,90.63,71.69,42.27,107.92,94.09,57.5,133.79,90.2,-0.524,0.831,0.815,-0.76,0.813,0.899,-0.29,0.872,0.613
"1052",10910,44.77,99.18,91.72,NA,NA,NA,NA,NA,NA,-0.548,0.942,1.23,NA,NA,NA,NA,NA,NA
"1053",10911,23.98,82.98,54.87,43.66,136.62,68.35,63.9,138.76,103.75,-1.616,0.713,0.403,-0.66,1.093,0.478,-0.045,0.919,0.797
"1054",10917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1055",10931,63.9,129.02,94,78.17,153.35,134.84,95.7,202.24,154.89,0.231,1.372,1.244,1.163,1.351,1.6,1.473,1.895,1.661
"1056",10933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1057",10934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1058",10952,58.98,106.53,87.65,NA,NA,NA,NA,NA,NA,0.056,1.094,1.105,NA,NA,NA,NA,NA,NA
"1059",10980,32.1,67.04,48.71,64.88,85.06,82.33,80.97,NA,88.2,-1.101,0.349,0.195,0.416,0.448,0.67,0.661,NA,0.585
"1060",10982,34.45,102.25,95.39,63.47,110.56,122.47,77.35,155.12,133.42,-0.962,0.991,1.282,0.344,0.83,1.354,0.5,1.078,1.247
"1061",10990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1062",10992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1063",10995,64.65,134.04,110.86,78.92,145.7,134.91,89.2,194.45,131.9,0.245,1.419,1.527,1.223,1.208,1.524,1.072,1.641,1.222
"1064",11002,39.62,96.28,73.62,50.9,137.74,85.23,71.14,169.31,105.13,-0.725,0.894,0.852,-0.273,1.161,0.705,0.24,1.236,0.816
"1065",11009,NA,NA,NA,NA,NA,NA,72.87,153.21,141.76,NA,NA,NA,NA,NA,NA,0.31,1.059,1.394
"1066",11012,21.23,89.64,87.12,33.34,119.02,86.31,34.12,107.54,110.53,-1.909,0.823,1.089,-1.31,0.883,0.815,-1.285,0.62,0.892
"1067",11013,29.25,109.34,78.41,NA,NA,NA,NA,NA,NA,-1.262,1.17,0.988,NA,NA,NA,NA,NA,NA
"1068",11025,27.89,88.09,61.8,27.65,103.71,79.48,37.76,119.09,104.29,-1.369,0.782,0.594,-1.731,0.698,0.621,-1.105,0.735,0.804
"1069",11028,37.59,109.48,90.76,51.77,111.28,108.07,65.33,116.25,121.15,-0.855,1.117,1.194,-0.26,0.831,1.058,0.01,0.707,1.049
"1070",11041,28.82,124.48,70.04,41.41,148,102.96,67.1,152.83,111.81,-1.303,1.218,0.777,-0.811,1.272,0.931,0.079,1.055,0.91
"1071",11044,31.21,89.72,61.75,40.38,125.39,99.58,62.47,161.71,127.92,-1.171,0.827,0.595,-0.865,0.988,0.966,-0.1,1.149,1.156
"1072",11046,29.78,103.61,83.15,45.98,126.38,120.71,39.16,127.58,113.28,-1.242,0.972,1.036,-0.528,1.017,1.23,-1.04,0.815,0.931
"1073",11053,29.32,104.82,57.14,39.32,143.02,89.45,57.24,146.6,111.06,-1.267,1.029,0.472,-0.908,1.155,0.804,-0.3,0.994,0.899
"1074",11073,50.89,147.62,90.12,61.71,161.02,106.96,81.19,176.84,126.46,-0.276,1.602,1.187,0.232,1.374,1.04,0.671,1.333,1.133
"1075",11074,29.66,105.34,62.4,51.81,137.86,84.95,76.35,165.48,121.25,-1.226,1.081,0.61,-0.234,1.066,0.789,0.456,1.191,1.051
"1076",11077,40.85,125.67,106.48,70.62,161.58,135.56,83.53,175.57,133.32,-0.695,1.225,1.448,0.696,1.405,1.528,0.782,1.315,1.246
"1077",11080,44.01,136.96,112.55,69.44,150.38,128.3,90.39,173.68,153.11,-0.539,1.381,1.544,0.644,1.325,1.439,1.138,1.291,1.62
"1078",11087,60.9,148.11,125.35,86.92,180.93,140.67,90.88,156.23,152.99,0.151,1.581,1.734,1.669,1.702,1.7,1.167,1.09,1.618
"1079",11103,18.71,65.57,43.25,NA,77.97,68.28,NA,NA,NA,-2.266,0.311,-0.022,NA,0.337,0.442,NA,NA,NA
"1080",11116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1081",11156,24.05,89.55,55.97,30.65,107.49,70.49,49.96,124.19,133.48,-1.627,0.834,0.436,-1.507,0.806,0.532,-0.583,0.783,1.248
"1082",11167,36.09,76.83,59.17,56.97,104.36,86.3,66.56,135.27,126.9,-0.913,0.621,0.519,0.011,0.712,0.823,0.058,0.886,1.14
"1083",11194,27.83,67.45,42.12,36.74,74.09,56.13,41.13,96.32,94.87,-1.367,0.382,-0.067,-1.067,0.3,0.166,-0.951,0.497,0.676
"1084",11216,19.21,59.06,38.84,NA,NA,NA,62.32,128.77,80.12,-2.175,0.114,-0.214,NA,NA,NA,-0.106,0.826,0.469
"1085",11217,24.52,86.11,64.66,34.74,98.53,72.09,42.05,103.44,106.4,-1.596,0.725,0.678,-1.208,0.672,0.557,-0.911,0.577,0.833
"1086",11220,20.94,NA,49.25,24.33,74.36,70.67,NA,NA,NA,-1.963,NA,0.213,-2.109,0.313,0.53,NA,NA,NA
"1087",11241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1088",11243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1089",11256,88.64,184.22,138.19,93.68,192.9,146.46,106.16,201.92,168.03,1.338,2.106,2.038,2.315,2.043,1.815,2.591,1.881,2.116
"1090",11262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1091",11265,66.25,170.48,145.36,NA,NA,NA,NA,NA,NA,0.387,1.89,2.197,NA,NA,NA,NA,NA,NA
"1092",11279,30.89,90.66,64.56,NA,NA,NA,NA,NA,NA,-1.18,0.826,0.673,NA,NA,NA,NA,NA,NA
"1093",11301,64.57,147.64,119.18,87.29,165.51,152.7,103.16,193.56,165.73,0.27,1.501,1.652,1.69,1.469,2.006,2.142,1.62,1.996
"1094",11314,87.01,156.77,107.79,NA,NA,NA,NA,NA,NA,1.266,1.769,1.472,NA,NA,NA,NA,NA,NA
"1095",11325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1096",11332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1097",11339,57.68,97.71,88.95,57.78,125.56,86.67,83.32,180.44,114.67,-0.022,0.906,1.15,0.063,0.96,0.735,0.771,1.383,0.952
"1098",11343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1099",11365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1100",11376,31.67,90.39,76.37,59.68,128.61,93.1,NA,NA,NA,-1.108,0.778,0.939,0.11,1.019,0.876,NA,NA,NA
"1101",11390,40.97,123.99,103.7,61.71,147.92,119.53,95.2,157.26,152.24,-0.675,1.218,1.399,0.268,1.235,1.294,1.438,1.101,1.601
"1102",11411,38.85,105.82,85.4,56.1,147.13,126.93,NA,NA,NA,-0.774,1.042,1.068,-0.029,1.198,1.407,NA,NA,NA
"1103",11428,50.82,106.51,75.62,77.43,145.39,106.07,94.26,179.08,120.79,-0.281,1.023,0.906,1.065,1.196,1.02,1.375,1.364,1.044
"1104",11433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1105",11443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1106",11446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1107",11454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1108",11464,36.98,109.82,68.53,44.89,124.84,83.98,NA,NA,NA,-0.864,1.145,0.766,-0.574,0.97,0.776,NA,NA,NA
"1109",11487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1110",11497,68.38,148.57,114.07,77.68,164.66,127.85,91.74,190.49,150,0.426,1.616,1.567,1.118,1.453,1.355,1.217,1.553,1.553
"1111",11509,35.87,80.47,88.66,46.34,107.14,113.61,85.7,105.22,96.78,-0.931,0.612,1.151,-0.506,0.802,1.143,0.888,0.596,0.702
"1112",11510,71.04,131.88,106.05,84.27,166.7,124.33,90.58,199.65,146.82,0.517,1.37,1.448,1.551,1.51,1.298,1.149,1.793,1.489
"1113",11514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1114",11519,45.76,116.96,82.33,52.56,134.23,103.44,NA,NA,NA,-0.48,1.189,1.041,-0.191,1.088,0.952,NA,NA,NA
"1115",11527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1116",11551,41.36,96.81,75.88,43.71,120.36,99.51,65.12,116.08,105.74,-0.669,0.926,0.916,-0.678,0.955,0.975,0.002,0.706,0.824
"1117",11553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1118",11556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1119",11570,51.26,157.47,119.97,69.24,176.72,132.2,91.19,192.94,157.97,-0.261,1.7,1.663,0.631,1.618,1.461,1.185,1.606,1.737
"1120",11580,44.37,150.1,110.81,69.35,169.63,134.41,73.88,168.62,147.31,-0.547,1.61,1.527,0.672,1.543,1.515,0.352,1.228,1.499
"1121",11581,63.02,127,77.22,72.45,131.97,125.47,82.11,156.79,143.47,0.198,1.309,0.96,0.817,1.09,1.382,0.714,1.096,1.425
"1122",11584,58.7,125.49,88.88,NA,NA,NA,NA,NA,NA,0.035,1.314,1.156,NA,NA,NA,NA,NA,NA
"1123",11586,24.66,92.63,68.15,NA,NA,NA,NA,NA,NA,-1.604,0.875,0.76,NA,NA,NA,NA,NA,NA
"1124",11590,64.77,75.35,86.13,57.13,87.84,115.66,78.41,96.99,101.26,0.262,0.597,1.084,0.002,0.526,1.18,0.546,0.505,0.763
"1125",11601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1126",11612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1127",11613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1128",11625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1129",11641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1130",11644,67.29,136.34,86.93,85.3,173.99,122.12,92.36,183.12,113.06,0.364,1.397,1.093,1.616,1.588,1.317,1.255,1.423,0.928
"1131",11680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1132",11687,40.43,86.79,63.68,NA,NA,NA,NA,NA,NA,-0.69,0.777,0.644,NA,NA,NA,NA,NA,NA
"1133",11692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1134",11715,62.57,142.72,121.74,74.87,148.97,139.94,91.07,169.42,127.2,0.169,1.424,1.69,0.902,1.261,1.625,1.178,1.238,1.145
"1135",11734,67.02,148.11,106.91,58.93,166.42,143.35,NA,NA,NA,0.398,1.572,1.454,0.095,1.48,1.76,NA,NA,NA
"1136",11758,36.18,125.77,71.18,57.64,126.56,91.65,69.84,165.33,126.04,-0.914,1.248,0.807,0.056,1.015,0.849,0.188,1.189,1.126
"1137",11765,67.11,158.07,76.16,77.32,167.12,93.47,87.54,186.3,146.89,0.428,1.568,0.933,1.095,1.568,0.888,0.983,1.475,1.491
"1138",11766,47.86,112.64,113.98,66.37,160.2,139.14,95.91,182.7,140.42,-0.389,1.095,1.557,0.498,1.399,1.606,1.487,1.417,1.369
"1139",11796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1140",11797,32.8,90.39,54.81,25.86,112.35,71.51,43.73,106.32,84.26,-1.076,0.839,0.401,-1.892,0.842,0.547,-0.838,0.608,0.53
"1141",11803,30.12,84.16,66.01,NA,NA,NA,NA,NA,NA,-1.209,0.739,0.707,NA,NA,NA,NA,NA,NA
"1142",11805,43.84,86.94,78.92,51.61,106.45,87.05,NA,NA,NA,-0.566,0.771,0.991,-0.257,0.814,0.755,NA,NA,NA
"1143",11808,48.96,120.32,66.22,53.68,147.06,90.91,56.91,158.28,119.21,-0.376,1.197,0.72,-0.152,1.219,0.838,-0.313,1.112,1.02
"1144",11841,51.54,109.91,89.94,NA,NA,NA,NA,NA,NA,-0.242,1.177,1.191,NA,NA,NA,NA,NA,NA
"1145",11863,28.53,117.15,76.42,41.88,133.21,116.76,NA,NA,NA,-1.314,1.203,0.941,-0.765,1.058,1.204,NA,NA,NA
"1146",11879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1147",11910,72.45,154.76,140.18,89.37,158.08,165.09,105.67,199.86,171.23,0.62,1.652,2.082,1.939,1.387,2.306,2.502,1.801,2.391
"1148",11918,29.69,105.73,73.16,NA,NA,NA,NA,NA,NA,-1.259,1.016,0.843,NA,NA,NA,NA,NA,NA
"1149",11924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1150",11927,55.71,111.59,90.45,53.04,126.81,111.95,76.93,183.55,152.95,-0.099,1.18,1.189,-0.17,0.988,1.12,0.482,1.43,1.617
"1151",11931,62.93,130.37,105.85,77.85,148.33,144.3,NA,NA,NA,0.185,1.41,1.466,1.162,1.273,1.741,NA,NA,NA
"1152",11932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1153",11937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1154",11943,56.65,128.28,75.92,58.72,135.89,79.49,60.58,155.61,83.15,-0.028,1.373,0.942,0.084,1.145,0.724,-0.172,1.084,0.514
"1155",11949,33.03,105.47,72.59,38.13,147.71,88.56,58.35,156.48,103.25,-1.073,1.052,0.824,-0.996,1.22,0.778,-0.258,1.093,0.79
"1156",11954,40.53,105.16,59.95,54.31,126.2,86.95,77.72,161.04,116.68,-0.702,0.992,0.547,-0.149,1.012,0.752,0.516,1.141,0.981
"1157",11958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158",11961,44.89,117.65,88.31,66.69,167.51,130.32,75.95,175.58,136.95,-0.534,1.176,1.137,0.517,1.545,1.423,0.439,1.316,1.308
"1159",11966,65.16,146.31,107.7,66.4,164.54,133.46,105.62,178.82,146.3,0.273,1.578,1.475,0.473,1.443,1.506,2.495,1.36,1.479
"1160",11974,59.01,117.09,103.55,78,109.79,152.55,93.21,152.83,157.5,0.031,1.193,1.384,1.068,0.863,1.912,1.307,1.055,1.725
"1161",11989,74.11,147.41,105.17,74.51,168.06,136.71,72.75,160.04,138.59,0.597,1.501,1.449,0.912,1.508,1.566,0.305,1.13,1.337
"1162",11991,56.01,124.52,106.25,58.68,151.29,99.33,80.9,148.27,101.56,-0.061,1.213,1.446,0.109,1.288,0.941,0.658,1.01,0.767
"1163",12006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1164",12037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1165",12041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1166",12062,33.85,114.18,116.54,39.75,140.6,139.19,71.65,177.34,135.34,-1.035,1.186,1.648,-0.884,1.127,1.614,0.26,1.339,1.28
"1167",12063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1168",12071,NA,NA,59.59,58.71,NA,113.59,NA,NA,NA,NA,NA,0.534,0.135,NA,1.151,NA,NA,NA
"1169",12074,41.88,125.62,76.66,NA,NA,NA,NA,NA,NA,-0.649,1.297,0.939,NA,NA,NA,NA,NA,NA
"1170",12093,39.04,124.6,81.69,NA,NA,NA,NA,NA,NA,-0.773,1.231,1.021,NA,NA,NA,NA,NA,NA
"1171",12108,42.59,125.58,105.85,55.56,161.71,115.35,NA,NA,NA,-0.634,1.227,1.452,-0.096,1.393,1.284,NA,NA,NA
"1172",12133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1173",12135,68.25,160.84,93.44,79.66,170.2,121.55,88.45,175.99,134.56,0.417,1.755,1.251,1.221,1.604,1.327,1.031,1.321,1.267
"1174",12141,34.55,127.79,73.49,59.5,146.94,98.8,81.05,147.2,122.65,-1.004,1.317,0.857,0.137,1.252,0.964,0.665,0.999,1.073
"1175",12151,73.35,146.21,108.89,90.27,171.55,138.21,101.21,177.6,143.67,0.605,1.549,1.515,2.031,1.611,1.591,1.929,1.343,1.429
"1176",12176,63.83,147.01,90.97,86.21,181.15,116.54,96.94,201.87,162.01,0.233,1.477,1.21,1.617,1.696,1.317,1.562,1.879,1.855
"1177",12178,41.34,95.19,71.64,54.9,149.23,87.93,72.33,161.19,117.65,-0.691,0.9,0.817,-0.108,1.246,0.768,0.288,1.143,0.996
"1178",12182,39.51,107.23,74.13,48.94,126.4,89.92,82.76,158.47,121.21,-0.741,1.11,0.878,-0.367,0.998,0.816,0.745,1.114,1.05
"1179",12221,55.98,88.85,89.17,NA,NA,NA,NA,NA,NA,-0.064,0.798,1.149,NA,NA,NA,NA,NA,NA
"1180",12228,53.4,146.82,86.73,NA,NA,NA,NA,NA,NA,-0.183,1.58,1.095,NA,NA,NA,NA,NA,NA
"1181",12233,55.08,125.99,76.44,63.55,130.95,92.43,NA,NA,NA,-0.127,1.353,0.941,0.337,1.107,0.872,NA,NA,NA
"1182",12243,54.27,126.68,102.44,57.27,147.93,132.22,NA,NA,NA,-0.15,1.341,1.355,0.057,1.241,1.483,NA,NA,NA
"1183",12249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1184",12267,58.41,103.21,101.62,NA,NA,NA,NA,NA,NA,-0.008,0.909,1.335,NA,NA,NA,NA,NA,NA
"1185",12279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1186",12282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1187",12283,41.27,127.12,109.37,56.18,143.51,119.98,92.08,173.38,142.66,-0.678,1.338,1.492,-0.003,1.198,1.302,1.238,1.287,1.41
"1188",12317,37.45,110.82,90.03,60.71,147.79,116.27,89.66,173.68,142.01,-0.83,1.182,1.199,0.236,1.22,1.184,1.097,1.291,1.398
"1189",12331,34.94,123.26,117.74,NA,NA,NA,NA,NA,NA,-0.937,1.185,1.637,NA,NA,NA,NA,NA,NA
"1190",12335,83.41,121.83,104.17,91.23,156.79,128.31,95.42,190.28,140.54,1.11,1.207,1.395,2.013,1.376,1.356,1.453,1.549,1.372
"1191",12340,63.24,148.07,134.93,77.32,182.53,158.38,85.33,195.5,157.83,0.225,1.577,1.966,1.078,1.799,2.112,0.87,1.668,1.734
"1192",12345,66.26,125.61,96.16,79.73,147.2,86.74,95.34,176.76,145.17,0.344,1.268,1.293,1.244,1.206,0.706,1.448,1.331,1.457
"1193",12357,75.8,182.32,114.75,86.55,175.87,128.51,93.45,195.15,145.39,0.711,2.043,1.579,1.632,1.653,1.377,1.322,1.659,1.462
"1194",12363,69.27,166.98,141.41,86.89,194.84,151.94,97.95,190.28,171.15,0.447,1.804,2.1,1.593,2.028,1.997,1.64,1.549,2.381
"1195",12367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1196",12379,61.96,164.86,129.73,76.54,181.14,152.59,92.68,204.49,156.99,0.168,1.724,1.858,1.052,1.711,1.899,1.274,2.009,1.712
"1197",12385,67.61,184.07,120.59,85.25,194.17,160.37,104.41,200.89,158.4,0.364,2.086,1.681,1.534,1.998,2.196,2.306,1.839,1.749
"1198",12386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1199",12391,48.25,133.75,118.78,64.9,166.43,155.03,99.52,193.11,159.6,-0.382,1.417,1.651,0.416,1.508,2.017,1.771,1.609,1.782
"1200",12413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1201",12414,61.77,152.99,98.21,77.91,183.15,141.56,NA,NA,NA,0.106,1.621,1.288,1.157,1.752,1.669,NA,NA,NA
"1202",12426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1203",12432,39.63,141.35,94.32,NA,NA,NA,NA,NA,NA,-0.734,1.427,1.274,NA,NA,NA,NA,NA,NA
"1204",12445,61.44,155.64,118.11,85.28,188.66,132.66,101.72,204.04,162.94,0.145,1.693,1.64,1.651,1.828,1.567,1.981,1.984,1.887
"1205",12463,30.86,90.53,85.38,51.16,96.96,97.53,66.83,131.17,125.97,-1.172,0.824,1.075,-0.256,0.65,0.943,0.068,0.848,1.125
"1206",12497,26.5,103.67,55.77,40.68,135.63,97.13,62.09,171.14,111.09,-1.463,1.005,0.429,-0.843,1.097,0.947,-0.115,1.259,0.9
"1207",12498,40.13,95.18,59.15,48.81,127.81,111.82,70.43,96.18,110.51,-0.696,0.919,0.526,-0.421,1.011,1.124,0.211,0.495,0.891
"1208",12503,68.82,126.24,103.66,67.6,158.88,122.03,87.15,182.42,135.57,0.413,1.308,1.394,0.582,1.39,1.336,0.962,1.413,1.284
"1209",12504,50.25,127.79,89.79,61.92,169.25,113.54,83.05,190.16,150.98,-0.296,1.354,1.194,0.253,1.576,1.142,0.759,1.546,1.574
"1210",12512,64.19,172.92,121.77,77.4,182.92,131.12,81.04,197.6,141.76,0.217,1.916,1.768,1.11,1.81,1.451,0.664,1.727,1.394
"1211",12541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1212",12545,25.23,NA,44.36,29.87,97.69,61.39,NA,NA,NA,-1.541,NA,0.029,-1.537,0.652,0.313,NA,NA,NA
"1213",12548,37.28,108.8,103.17,NA,NA,NA,NA,NA,NA,-0.837,1.135,1.371,NA,NA,NA,NA,NA,NA
"1214",12561,28.91,76.22,78.95,31.79,109.95,113.35,47.45,143.83,132.35,-1.308,0.613,0.989,-1.406,0.789,1.148,-0.684,0.967,1.229
"1215",12598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1216",12604,52.68,135.66,76.49,59.16,149.72,110.32,77.64,181.78,126.4,-0.23,1.396,0.949,0.117,1.281,1.192,0.513,1.403,1.132
"1217",12609,44.44,116.86,54.67,61.39,128.72,65.12,55.71,122.17,75.42,-0.553,1.171,0.404,0.244,1.08,0.415,-0.359,0.764,0.396
"1218",12636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1219",12641,51.65,150.93,106.63,NA,NA,NA,NA,NA,NA,-0.266,1.642,1.477,NA,NA,NA,NA,NA,NA
"1220",12646,58.78,106.14,119.48,59.07,126.86,119.4,74.35,140.31,134.61,0.008,1.047,1.73,0.144,1,1.289,0.372,0.933,1.268
"1221",12650,50.47,125.47,104.88,75.61,165.72,118.18,96.5,189.02,131.32,-0.279,1.238,1.424,0.984,1.432,1.227,1.529,1.524,1.212
"1222",12659,68.48,142.74,109.54,79.24,160.12,114.47,88.94,183.9,101.45,0.431,1.409,1.494,1.224,1.382,1.207,1.058,1.436,0.765
"1223",12665,51.47,96.26,92.09,NA,NA,NA,NA,NA,NA,-0.236,0.904,1.24,NA,NA,NA,NA,NA,NA
"1224",12669,60.87,146.7,124.23,65.16,165.37,118.56,90.96,192.82,150.62,0.101,1.454,1.793,0.421,1.426,1.285,1.171,1.603,1.566
"1225",12675,49.54,162.19,139.98,67.74,179.47,150.24,95.28,172.13,161.27,-0.319,1.8,2.076,0.565,1.665,1.823,1.443,1.271,1.832
"1226",12683,62.35,183.97,143.99,82.06,194.36,145.29,88.82,205.93,158.59,0.195,2.174,2.191,1.457,2.003,1.81,1.051,2.102,1.754
